,date,decision,opponent,opponent_0,opponent_0_br_id,opponent_br_id,result,title_fight,venue,w-l-d,alias_x,birth name_x,birth place_x,born_x,bouts_x,br_id_x,career_x,debut_x,division_x,draws_x,height_x,losses_x,manager/agent_x,name_x,nationality_x,promoter_x,reach_x,residence_x,rounds_x,sex_x,stance_x,status_x,titles held_x,wins_x,alias_y,birth name_y,birth place_y,born_y,bouts_y,br_id_y,career_y,debut_y,division_y,draws_y,height_y,losses_y,manager/agent_y,name_y,nationality_y,promoter_y,reach_y,residence_y,rounds_y,sex_y,stance_y,status_y,titles held_y,wins_y
0,2019-10-11,L,Roberto Ramirez*,Luis Enrique Luna,336398,501818,TKO,FALSE,"Gimnasio Burocratas, Tijuana",21 2 1,,,,1987-08-23  / age 32,25,336398,,2005-10-29,light,0,,10,,Luis Enrique Luna,Mexico,,,"La Paz, Baja California Sur, Mexico",104,male,,,,15,Rifle,,,1993-01-19  / age 26,25,501818,,2011-12-03,light,1,,2,,Roberto Ramirez,Mexico,,,"Tijuana, Baja California, Mexico",87,male,orthodox,,,22
1,2019-09-13,L,Juan Garcia Mendez,Luis Enrique Luna,336398,493038,RTD,FALSE,"Centro Recreativo Juventud 2000 , Mexicali",19 4 2,,,,1987-08-23  / age 32,25,336398,,2005-10-29,light,0,,10,,Luis Enrique Luna,Mexico,,,"La Paz, Baja California Sur, Mexico",104,male,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
2,2019-08-17,W,Giovany Morales Santos,Luis Enrique Luna,336398,731087,MD,FALSE,"Cancha Manuel Gómez Jiménez, La Paz",0 5 0,,,,1987-08-23  / age 32,25,336398,,2005-10-29,light,0,,10,,Luis Enrique Luna,Mexico,,,"La Paz, Baja California Sur, Mexico",104,male,,,,15,,,,1996-11-21  / age 23,6,731087,,2015-05-30,light,0,,6,,Giovany Morales Santos,Mexico,,,"La Paz, Baja California Sur, Mexico",28,male,,,,0
3,2019-02-02,W,Manuel David Lugo,Luis Enrique Luna,336398,474319,SD,FALSE,"Cancha Manuel Gómez Jiménez, La Paz",11 6 2,,,,1987-08-23  / age 32,25,336398,,2005-10-29,light,0,,10,,Luis Enrique Luna,Mexico,,,"La Paz, Baja California Sur, Mexico",104,male,,,,15,Money,,Mexico,1990-06-26  / age 29,25,474319,,2008-08-30,bantam,2,,10,,Manuel David Lugo,Mexico,,,"Los Mochis, Sinaloa, Mexico",117,male,,,,12
4,2018-12-14,W,Gonzalo Paul Gonzalez,Luis Enrique Luna,336398,843176,UD,FALSE,"Cancha Manuel Gómez Jiménez, La Paz",1 0 0,,,,1987-08-23  / age 32,25,336398,,2005-10-29,light,0,,10,,Luis Enrique Luna,Mexico,,,"La Paz, Baja California Sur, Mexico",104,male,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
5,2018-08-14,L,Ramiro Cesena,Luis Enrique Luna,336398,826609,TKO,FALSE,"Cancha Manuel Gómez Jiménez, La Paz",2 0 1,,,,1987-08-23  / age 32,25,336398,,2005-10-29,light,0,,10,,Luis Enrique Luna,Mexico,,,"La Paz, Baja California Sur, Mexico",104,male,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
6,2011-12-02,L,Jorge Martinez,Luis Enrique Luna,336398,213731,TKO,FALSE,"Gimnasio Auditorio Jorge Campos, La Paz",9 9 0,,,,1987-08-23  / age 32,25,336398,,2005-10-29,light,0,,10,,Luis Enrique Luna,Mexico,,,"La Paz, Baja California Sur, Mexico",104,male,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
7,2011-10-08,L,Ricardo Alvarez,Luis Enrique Luna,336398,459569,KO,FALSE,Los Cabos,14 1 2,,,,1987-08-23  / age 32,25,336398,,2005-10-29,light,0,,10,,Luis Enrique Luna,Mexico,,,"La Paz, Baja California Sur, Mexico",104,male,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
8,2011-10-08,W,Luis Antonio Ramirez,Luis Enrique Luna,459569,336398,TKO,FALSE,"Gimnasio Auditorio Jorge Campos, La Paz",0 1 0,,,,1987-08-23  / age 32,25,336398,,2005-10-29,light,0,,10,,Luis Enrique Luna,Mexico,,,"La Paz, Baja California Sur, Mexico",104,male,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
9,2009-08-01,L,Martin Fing,Luis Enrique Luna,336398,/60626,KO,FALSE,"Modelo Center, La Paz",14 18 1,,,,1987-08-23  / age 32,25,336398,,2005-10-29,light,0,,10,,Luis Enrique Luna,Mexico,,,"La Paz, Baja California Sur, Mexico",104,male,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
